,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_slim_version,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
0,1.7380054473876954,0.13138095533478591,0.0014795303344726563,0.0004198321309639597,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.576064109802246,-7.03494119644165,-9.566399574279785,-13.073173522949219,-25.315532684326172,-12.513222217559814,6.742159232325656,6,8
1,1.4417514324188232,0.12958185029253064,0.0017830371856689454,0.0006704787866824607,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.9111480712890625,-6.0777411460876465,-9.010782241821289,-11.997418403625488,-25.275272369384766,-11.854472446441651,7.014726772906645,4,8
2,1.317600965499878,0.06463962953545879,0.0014739513397216796,0.000404644905887708,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.411463737487793,-7.069190979003906,-8.537847518920898,-12.940443992614746,-25.294891357421875,-12.250767517089844,6.850958937359458,5,8
3,1.8096700668334962,0.0822766862313286,0.0010189533233642579,2.4969790755629177e-05,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-6.847752571105957,-5.346314430236816,-5.760526180267334,-9.081289291381836,-16.016090393066406,-8.61039457321167,3.9229822399870122,2,8
4,1.5143858432769775,0.06182792898293352,0.0008118152618408203,0.0005076229535552835,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.6434946060180664,-1.6382437944412231,-5.794926166534424,-9.142244338989258,-1.9506675004959106,-4.033915281295776,2.9996486225401533,1,8
5,1.3363576412200928,0.06579790886637348,0.0007000446319580078,0.0006005634130032926,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-7.194192409515381,-6.258396148681641,-6.557703018188477,-9.01704216003418,-16.04029083251953,-9.013524913787842,3.6416265075922745,3,8
0,1.5120747566223145,0.05333027360560398,0.0015450477600097655,0.00041384783493199416,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.650278568267822,-8.053829193115234,-10.748407363891602,-13.096159934997559,-25.301727294921875,-12.970080471038818,6.472882815680345,6,9
1,1.3011902809143066,0.11604220022764869,0.001718616485595703,0.000411978932357418,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.440003395080566,-6.575130939483643,-10.410831451416016,-12.007101058959961,-25.315692901611328,-12.149751949310303,6.929124373104026,4,9
2,1.2892351627349854,0.061162143686566105,0.0014120578765869141,0.0004833533561867852,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.638337135314941,-7.535801887512207,-9.923057556152344,-12.973084449768066,-25.298059463500977,-12.673668098449706,6.614877065442898,5,9
3,1.6168861865997315,0.03763611504542582,0.0008241653442382813,0.0004144343250600873,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-7.171937465667725,-5.948080539703369,-6.400627136230469,-8.66376781463623,-19.526941299438477,-9.542270851135253,5.076849832934026,3,9
4,1.2750326633453368,0.06635920125770935,0.0004038810729980469,0.000494651295789719,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-1.7525140047073364,-3.5371530055999756,-6.35646915435791,-8.608765602111816,-17.131179809570312,-7.47721631526947,5.367155756362903,1,9
5,1.3195437431335448,0.0716213948244973,0.0008929729461669922,0.00019475313829896214,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.7199066877365112,-6.067467212677002,-6.329627990722656,-9.242416381835938,-17.00600814819336,-8.073085284233093,5.071281328648896,2,9
0,1.6141397953033447,0.09487988118719881,0.0018301963806152343,0.0004447273489943065,SLIM+SIG2,{'slim_version': 'SLIM+SIG2'},-7.628847599029541,-7.110539436340332,-8.63459587097168,-12.943774223327637,-25.787181854248047,-12.420987796783447,6.991862162675909,6,10
1,1.240648078918457,0.11030241634765074,0.0013091564178466797,0.0006031158827250992,SLIM+SIG1,{'slim_version': 'SLIM+SIG1'},-6.954627990722656,-6.112614154815674,-7.828995704650879,-11.814977645874023,-25.742399215698242,-11.690722942352295,7.2927892553824805,4,10
2,1.3111474990844727,0.10726579096797038,0.0015671730041503906,0.0004923925042173864,SLIM+ABS,{'slim_version': 'SLIM+ABS'},-7.624411106109619,-7.14117956161499,-7.880086421966553,-12.807825088500977,-25.749094009399414,-12.24051923751831,7.058732493105284,5,10
3,1.6427655220031738,0.07603614249429677,0.0008926868438720703,0.0003269898217803142,SLIM*SIG2,{'slim_version': 'SLIM*SIG2'},-6.815921306610107,-5.5799360275268555,-5.568704605102539,-8.276351928710938,-16.647083282470703,-8.577599430084229,4.155725290597791,3,10
4,1.3944291591644287,0.07439837610032338,0.0009173870086669922,0.00016299940174561696,SLIM*SIG1,{'slim_version': 'SLIM*SIG1'},-8.322961807250977,-1.6231118440628052,-4.17228364944458,-8.334969520568848,-2.457022190093994,-4.982069802284241,2.853689314973909,1,10
5,1.3535956382751464,0.059362197321144235,0.0005026817321777344,0.0006368699920335179,SLIM*ABS,{'slim_version': 'SLIM*ABS'},-1.6668750047683716,-5.210757255554199,-5.745494842529297,-8.385190963745117,-16.53165626525879,-7.507994866371154,4.993962880263086,2,10
